epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1116.16,1.33238,0.94402,1.11704,0.43917,0.61111,0.4563,0.25499,1.95198,1.91164,1.39826,0.000990365,0.000990365,0.000990365
43,1140.36,1.12721,0.89041,1.06171,0.91179,0.49502,0.65439,0.44144,1.93581,1.49939,1.50366,0.000973861,0.000973861,0.000973861
44,1164.46,1.07131,0.82572,1.01171,0.89594,0.48599,0.62183,0.41959,2.12355,1.56622,1.52228,0.000957358,0.000957358,0.000957358
45,1189.25,1.09109,0.81215,1.20471,0.89594,0.48599,0.62183,0.41959,2.12355,1.56622,1.52228,0.000940855,0.000940855,0.000940855
46,1214.85,1.24858,0.93228,1.16708,0.57014,0.61111,0.5914,0.38563,2.30902,1.69088,1.63542,0.000924352,0.000924352,0.000924352
47,1238.86,1.25585,0.81009,1.10339,0.58634,0.72222,0.67326,0.30439,2.33725,1.68855,1.73572,0.000907848,0.000907848,0.000907848
48,1263.07,1.11488,0.81007,1.14173,0.76446,0.61111,0.65705,0.35186,1.94095,1.70136,1.6208,0.000891345,0.000891345,0.000891345
49,1287.82,1.21493,1.04674,1.1657,0.76446,0.61111,0.65705,0.35186,1.94095,1.70136,1.6208,0.000874842,0.000874842,0.000874842
50,1311.13,1.13637,0.93103,1.08516,0.62882,0.83333,0.83782,0.47261,1.64491,1.86413,1.32782,0.000858338,0.000858338,0.000858338
51,1335.34,1.53592,1.44157,1.12089,0.60944,0.83333,0.748,0.42041,1.672,2.18177,1.27956,0.000841835,0.000841835,0.000841835
52,1359.79,1.25089,0.88771,1.08795,0.49461,0.79272,0.83074,0.54765,1.55897,1.87556,1.27917,0.000825332,0.000825332,0.000825332
53,1384.46,1.07381,1.15168,1.10557,0.49461,0.79272,0.83074,0.54765,1.55897,1.87556,1.27917,0.000808828,0.000808828,0.000808828
54,1408.32,1.21952,1.00097,1.36842,0.81604,0.92609,0.9625,0.59182,1.44826,1.35097,1.25997,0.000792325,0.000792325,0.000792325
55,1432.18,1.07336,0.84334,1.06646,0.83351,0.90229,0.95904,0.65497,1.37721,1.31468,1.24041,0.000775822,0.000775822,0.000775822
56,1457.34,1.03349,0.91254,1.03228,0.69654,0.91253,0.88,0.51514,1.38986,1.29117,1.23931,0.000759318,0.000759318,0.000759318
57,1482.13,1.32916,0.88839,1.09917,0.69654,0.91253,0.88,0.51514,1.38986,1.29117,1.23931,0.000742815,0.000742815,0.000742815
58,1507.3,0.93363,0.75101,0.99828,1,0.9078,0.96605,0.66725,1.41418,1.07627,1.18562,0.000726312,0.000726312,0.000726312
59,1534.59,1.01948,0.84439,1.01463,0.93472,0.88972,0.96605,0.71519,1.29183,0.91791,1.13369,0.000709809,0.000709809,0.000709809
60,1563.23,0.9627,0.74046,1.10208,0.9005,0.85224,0.94,0.68908,1.27426,0.91387,1.10211,0.000693305,0.000693305,0.000693305
